label,text
positive,эти розы для прекрасной мамочки)))=_=]]
negative,"И да, у меня в этом году серьезные проблемы со сном и режимом."
positive,"♥Обожаю людей, которые заставляют меня смеяться.©♥"
negative,"Вчера нашла в почтовом ящике пустую упаковку из-под жвачки и использованный презерватив в упаковке. Могли бы хоть ""резинку"" не портить, гады."
positive,очень долгожданный и хороший день был)
negative,Да пошли вы. :с
positive,"Ребят, ребят
Панда
Маленькая панда 
Аааа
*______*
😱😱😱 
🐼🐼🐼"
positive,Четвертый день подряд возвращаюсь из офиса счастливый. До чего же мне нравится жить!
negative,Заебали майданы. Хер вам теперь...
positive,"Уже совсем скоро выборы в #councilhse Мне раньше казалось, что студсовет ни на что не может повлиять и ни как не может помочь студентам. Как показало время, я ошибалась. Студсовет реально влияет на правила, которые работают в Вышке. Особенно это чувствует любой студент, который пробует делать в рамках Вышки свои проекты. На выборах этого года я верю только в одного человека, который реально делал, делает и будет делать крутые и полезные реформы в Вышке. Это [id11190617|Иван Чернявский] Благодаря Ване сейчас в общежитиях нет комендантского часа и установлен свободный пропускной режим. В команде Вани  очень профессиональные и классные ребята. Я точно поддержу Ваню в понедельник на выборах, и прошу всех моих друзей вышкинцев сделать то же самое #hse"
positive,А я Вас люблю!))*
positive,"Долгожданный сольник нашего любимого Глеба Матвейчука "" Избранное. Любимое. Для Вас""! Как приятно было со всеми встретиться, погрузиться в атмосферу счастья, радости, праздника!"
positive,Мне больше эта нравиться!)
positive,"Под проливным дождем холодным утром Хочу держать не телефон, твою руку. Все,что могу сказать,она поймет без слов.Ее улыбка больше чем любовь"
negative,настроения нет(
positive,"Приходи, Тебе ВСЁ понравится!.. ;)"
positive,Мне нравиться Питер) уже в первый день есть пару историй)
positive,Мартин. 1 месяц и 3 дня. Любит фотографироваться и общаться. Смелый. С дивана спустился вниз головой...
negative,"очень романтичное фото. Хоть с точки зрения скульптуры полная бездарность, но все равно у человека разрешившего снести балалайку нет сердлца"
positive,Во какое древнее видео откопал) играю в школе на расстроенном пианино)обожаю эту песню)))и ставить скобки после текста ))))))))))
positive,"Уоо, какая чудесная фотография )"
negative,"Да, ты мил, но ты дебил."
positive,класен спокойный трек))
positive,новые вкусняшки!)уже загружаю мк для вас!)
